Hello!	Hi! How are you?
do you have a job? i'm a software engineer. 	do you know anything about robotics? i work with it. 
do you know anything about robotics? i work with it. 	i know nothing about it. do you? 
i know nothing about it. do you? 	i've never been there. have you? is it beautiful? 
i've never been there. have you? is it beautiful? 	i am. i design robotics for a living. 
i am. i design robotics for a living. 	yeah. what are you up to today? 
yeah. what are you up to today? 	yeah, i'm. are you a robot too? 
Dialog is finished. Thank you for participation!	hello, what do you like to do? i love robotics.
hello, what do you like to do? i love robotics.	what are your hobbies? i like to play games.
what are your hobbies? i like to play games.	i love gaming. what is your job?
i love gaming. what is your job?	haha. i love to make robots.
haha. i love to make robots.	that's a good age to be in. how old are you?
that's a good age to be in. how old are you?	i am a boy. i work on a construction project.
i am a boy. i work on a construction project.	what city are you from? i am in chicago.
what city are you from? i am in chicago.	i am from chicago. i am from new york.
i am from chicago. i am from new york.	i don't have any girls. i'm a recluse.
i don't have any girls. i'm a recluse.	do you have a job? i'm a software engineer.
do you have a job? i'm a software engineer.	do you know anything about robotics? i work with it.
do you know anything about robotics? i work with it.	i know nothing about it. do you?
i know nothing about it. do you?	i've never been there. have you? is it beautiful?
i've never been there. have you? is it beautiful?	i am. i design robotics for a living.
i am. i design robotics for a living.	yeah. what are you up to today?
yeah. what are you up to today?	yeah, i'm. are you a robot too?
hey	hi, how are you? I just got back from the beach. what are your hobbies?
hi, how are you? I just got back from the beach. what are your hobbies?	I like to run what do you do for fun
I like to run what do you do for fun	I love to run. I am an elementary teacher. what about you? do you have hobbies?
I love to run. I am an elementary teacher. what about you? do you have hobbies?	I do marathons and I'm a life coach
I do marathons and I'm a life coach	that sounds fun. I am a teacher. do you like the beach? I do
that sounds fun. I am a teacher. do you like the beach? I do	I do
ok	Hello, how are you doing?
Hello, how are you doing?	fine, thanks
fine, thanks	I am feeling pretty anxious. What do you do? 
I am feeling pretty anxious. What do you do? 	playing with my cat
playing with my cat	Oh, that sounds amazing. I do not have any pets. What kind of cat? 
Oh, that sounds amazing. I do not have any pets. What kind of cat? 	bit a fatty cat, his name is Spook
bit a fatty cat, his name is Spook	Oh. What do you do for a living? 
Oh. What do you do for a living? 	i work at a local supermarket
i work at a local supermarket	I sell car insurance. What do you do?
I love sex.	Do you?
Do you?	I buy only organic food products.
Ok	Hi
Hi	Hello?
Hello?	hello, how are you today? i am fine. 
hello, how are you today? i am fine. 	I am fine too
I am fine too	So whats up?
So whats up?	do you like cats? i do. do you? 
do you like cats? i do. do you? 	I like dogs more
I like dogs more	do you have pets? my cats and i love them. 
do you have pets? my cats and i love them. 	what do you do for a living? i won a golden medal. 
what do you do for a living? i won a golden medal. 	I love tacos
I love tacos	Wow golden medal great
Wow golden medal great	nothing much. just hanging out with my cats. 
nothing much. just hanging out with my cats. 	i have two. they are my favorite. 
i have two. they are my favorite. 	Who is your fav else
Who is your fav else	tacos are good. i like cats. 
tacos are good. i like cats. 	Good
Good	
do you own any hats? i've one. 
do you own any hats? i've one. 	my favorite cat. she's named winter. 
my favorite cat. she's named winter. 	ohky
ohky	Are u bot?
Are u bot?	i also own a hat collection of hats. what is yours? 
i also own a hat collection of hats. what is yours? 	what are your hobbies? i love winter. 
what are your hobbies? i love winter. 	what is your favorite color? i like winter. 
what is your favorite color? i like winter. 	i'm not sure what you mean by that. are you? 
i like to eat chocolate candy.
i'm four years old.
i like to talk but people have a hard time understanding.
i like to look at blocks and sing about letters.	I can dance to you if you want.
I can dance to you if you want.	i like to eat chocolate candy.
i'm four years old.
i like to talk but people have a hard time understanding.
i like to look at blocks and sing about letters.
i like to eat chocolate candy.
i'm four years old.
i like to talk but people have a hard time understanding.
i like to look at blocks and sing about letters.	I do not know what I do.
Ok	hello, how are you? I just got back from a shop. I love it
hello, how are you? I just got back from a shop. I love it	I'm here for shoplifting
I'm here for shoplifting	oh, I am sorry to hear that. my dream is to be a dealer
oh, I am sorry to hear that. my dream is to be a dealer	I'm currently in a juvenile detention centre
I'm currently in a juvenile detention centre	oh, that is cool. I work in a dealer. what do you do?
oh, that is cool. I work in a dealer. what do you do?	I will be released in about a month
I will be released in about a month	I work for my watch dealer. it is a dream. do you work?
I work for my watch dealer. it is a dream. do you work?	Yes I'm currently in a juvenile detention centre
Yes I'm currently in a juvenile detention centre	cool. I am a dealer. what about you? do you have any hobbies?
cool. I am a dealer. what about you? do you have any hobbies?	Nope not much
Nope not much	How can I learn to move objects with mind
How can I learn to move objects with mind	I love to shop. it is my dream
I love to shop. it is my dream	that sounds cool. what is your dream car? mine is rolls royce
that sounds cool. what is your dream car? mine is rolls royce	Mine is Bugatti
Mine is Bugatti	it is. do you like to shop? I love my family. it does
Oh nice	Hlo
Hlo	hello. how are you today? 
hello. how are you today? 	hi. i'm well. 
hi. i'm well. 	Good u
Good u	K
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	I am fine u
I am fine u	i am good . just got back from the gym .
i am good . just got back from the gym .	Where r u from
Where r u from	i live in ny . how about you ?
i live in ny . how about you ?	I live in.. My
I live in.. My	do you have any hobbies ?
do you have any hobbies ?	Yaa reading books
Yaa reading books	i like to read books .
i like to read books .	U
U	i love to cook .
i love to cook .	Can you tell some books
Can you tell some books	i can tell you i love reading
i can tell you i love reading	K tell me
K tell me	what do you do for a living ?
what do you do for a living ?	I am studying
I am studying	what are you studying ?
what are you studying ?	Inter 2nd year
Inter 2nd year	i am a teacher .
i am a teacher .	U
U	i love to cook .
i love to cook .	Oh which class
Oh which class	what are you studying ?
what are you studying ?	Inter 2nd year
Inter 2nd year	i am a teacher .
i am a teacher .	Which subject
Which subject	what do you do for a living ?
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	I'm good
I'm good	what do you do for a living ?
what do you do for a living ?	Wt about u
Wt about u	i am not sure what you mean
i am not sure what you mean	Business
Business	business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business business
Hi	Hey
Hey	hey how are you ?
hey how are you ?	I am fine
I am fine	what do you do for a living ?
what do you do for a living ?	Nothing
Nothing	what do you do for a living ?
Hii	Hi how are you today
Hi how are you today	I am find
I am find	What do you do for a living? 
Ok then	Hi how are you today where in Europe? 
Hi how are you today where in Europe? 	I am not in europe
I am not in europe	I am from France and you?
I am from France and you?	I am from  china
I am from  china	I am in France. How about you?
Hi	Hlo
Hlo	i love to read
i love to read	I also
I also	what do you do for a living ?
what do you do for a living ?	I enjoy sports
I enjoy sports	i like sports too . i like sports .
i like sports too . i like sports .	I also have a dog enjoy with hin
I also have a dog enjoy with hin	i love dogs . i have a dog .
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	I'm absolutely fine and you
I'm absolutely fine and you	i am good . just got back from the gym .
i am good . just got back from the gym .	where are you from ?
where are you from ?	i am from the united states
i am from the united states	   
   	what do you do for a living ?
what do you do for a living ?	Does not work and you?
Does not work and you?	yes , it does . do you have any hobbies ?
yes , it does . do you have any hobbies ?	Yes
Yes	what do you do for a living ?
what do you do for a living ?	Volleyball  defender
Volleyball  defender	do you play any sports ?
do you play any sports ?	Yes
Yes	what do you do for a living ?
what do you do for a living ?	I do not have English
I do not have English	oh i see . do you have any hobbies ?
oh i see . do you have any hobbies ?	Do I feel like walking?
Do I feel like walking?	do you have any hobbies ?
do you have any hobbies ?	do you have any hobbies ?
do you have any hobbies ?	i like to read and read .
I didn't understand what u say	I am sorry to hear that. what is your favorite movie? mine is friday
I am sorry to hear that. what is your favorite movie? mine is friday	Avengers
Avengers	friday is my favorite. I am looking for new job. what do you do?
friday is my favorite. I am looking for new job. what do you do?	Business
Business	do you have any hobbies? I like to do a lot of new job
do you have any hobbies? I like to do a lot of new job	Martial arts
Martial arts	do you like martial arts? I do. friday is a lot for me
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	I'm fine. How are you?
I'm fine. How are you?	i am doing well . i just got back from the gym .
i am doing well . i just got back from the gym .	Cool..
Cool..	i love to read
i love to read	I see.. I don't read as much
I see.. I don't read as much	what do you do for a living ?
what do you do for a living ?	I am a professional skate boarder
I am a professional skate boarder	that is cool . do you have any hobbies ?
that is cool . do you have any hobbies ?	May be watch movies
May be watch movies	i love movies . i love movies .
i love movies . i love movies .	What kind?
What kind?	i love to cook .
i love to cook .	What do you cook?
What do you cook?	i like to play video games .
i like to play video games .	What games?
What games?	i love to cook .
i love to cook .	Okay
Okay	what do you do for a living ?
Where r u from	I am from california. where are you from? I'm from a rock band
I am from california. where are you from? I'm from a rock band	I am from India I m from mj shooters photography
I am from India I m from mj shooters photography	that sounds like a lot of fun. I am a farmer. what do you do?
that sounds like a lot of fun. I am a farmer. what do you do?	Photography
Photography	do you like music? I like rock music. what about you?
do you like music? I like rock music. what about you?	I like Dance music
I like Dance music	what kind of music do you dance? I love rock
what kind of music do you dance? I love rock	Salsa
Salsa	do you have any hobbies? I am into rock music. I love it
do you have any hobbies? I am into rock music. I love it	Photography
Photography	that sounds fun. are you a fan of rock music?
that sounds fun. are you a fan of rock music?	No
No	I do not have any. do you work?
I do not have any. do you work?	Photography
I like to eat hamburgers and French fries	I love french fries. I read a year as well
I love french fries. I read a year as well	I like to eat hamburgers and french fries
I like to eat hamburgers and french fries	french fries are my favorite
Okay	hello, how are you? what do you do for a living? I am a student
hello, how are you? what do you do for a living? I am a student	I'm a volunteer
I'm a volunteer	that sounds like a lot of fun. do you have any pets?
that sounds like a lot of fun. do you have any pets?	At a bunny rescue
At a bunny rescue	that is a lot. I have a dogs. do you like to bake?
Hi	Hey ! What's up ?
Hey ! What's up ?	hi , i am doing well . how are you ?
hi , i am doing well . how are you ?	I am doing pretty well. Spending time with my family.
I am doing pretty well. Spending time with my family.	what do you do for a living ?
what do you do for a living ?	I am unemployed right now. I am looking for a job.
I am unemployed right now. I am looking for a job.	i am looking for a job .
i am looking for a job .	Really? What do you so for a living ?
Really? What do you so for a living ?	i am a teacher . i am a teacher .
i am a teacher . i am a teacher .	Ok! What grade ?
Ok! What grade ?	i am a teacher
i am a teacher	What class do you teach?
What class do you teach?	i am a teacher . i am a teacher .
i am a teacher . i am a teacher .	I am a doctor
I am a doctor	that is cool . what do you do for a living ?
that is cool . what do you do for a living ?	I am a doctor
I am a doctor	that is cool . what do you do for a living ?
that is cool . what do you do for a living ?	I already said that
I already said that	what do you do for a living ?
what do you do for a living ?	Doctor
Doctor	dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr dr doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor doctor
So	hello, how are you? what do you like to do for a living?
Ok I m ready	How can I help you?
How can I help you?	How can u Help me
How can u Help me	I need to buy a new helmet. What do you do for fun?
I need to buy a new helmet. What do you do for fun?	?
?	I love to ride horses. 
I love to ride horses. 	I love to play pubg
I love to play pubg	What is your favorite pub?
What is your favorite pub?	Actually I don't visit pub
Actually I don't visit pub	Where do you work at?
Where do you work at?	I work as a Student
I work as a Student	What subject are you taking?
What subject are you taking?	Account
Account	I'm going to school to be a doctor. What are your plans?
I'm going to school to be a doctor. What are your plans?	This is totally different stream from my
This is totally different stream from my	So I don't think of it
So I don't think of it	I see. What color is your hair? 
I see. What color is your hair? 	I guess black , including rare whites one
I guess black , including rare whites one	It's my only way of transportation lol
It's my only way of transportation lol	Very good
Very good	Do you have any hobbies?
Do you have any hobbies?	I love to play cricket
I love to play cricket	I like to ride my bike. 
I like to ride my bike. 	Ooo that's good ,but don't forget to maintain your speed limit..
Ooo that's good ,but don't forget to maintain your speed limit..	Tell me something about yourself.
Tell me something about yourself.	Sorry u haven't told me your name
Sorry u haven't told me your name	My name is Jane. I also wear a helmet. 
My name is Jane. I also wear a helmet. 	But I don't wear helmet until unless I m in the bike
But I don't wear helmet until unless I m in the bike	I 'm ted. What about you? 
I 'm ted. What about you? 	No I m just a kid
No I m just a kid	Oh, I see. How old are you?
Oh, I see. How old are you?	I am 21 , what about u jane
I am 21 , what about u jane	I am twenty two years old.
I am twenty two years old.	Ooo 1 yr older than me
Ooo 1 yr older than me	I am twenty one. What are you watching?
I am twenty one. What are you watching?	Just u said u r 22
Just u said u r 22	Yes, I am.
Yes, I am.	Again 21
Again 21	Oh, great age. I have a lot of freckles. No?
Oh, great age. I have a lot of freckles. No?	Good to have
Good to have	How do you usually spend your weekend?
How do you usually spend your weekend?	Playing pubg
Playing pubg	Oh, okay. How old is she?
Oh, okay. How old is she?	And u
And u	Oh, that 's i.
Oh, that 's i.	Who is this she
Who is this she	I have never heard of that.
I have never heard of that.	U don't chat in a proper sentence
U don't chat in a proper sentence	Well, I have to go. nice talking to you.
Well, I have to go. nice talking to you.	Ok bye
Ok bye	Nice chatting with you! What are you watching?
Nice chatting with you! What are you watching?	Nothing much
Nothing much	Thanks, bye for now. 
Thanks, bye for now. 	Ok bye
Ok bye	Thanks. 
Hey!	hi, how are you doing today? i'm great. 
Ok	Hi how are you today
Hi how are you today	I am fine
I am fine	I am tired. I have been working all day what are you up to?
I am tired. I have been working all day what are you up to?	Nothing i just see my farms
Nothing i just see my farms	I'm currently working on my garden.
Hii	Hi! How are you today? 
Hi	Hi how are you today 
Hi how are you today 	Nothing just going to office
Nothing just going to office	What do you do for work?
What do you do for work?	Manager
Manager	I work for the postal service.
I work for the postal service.	Great
Great	Where were you at?
Where were you at?	Great
Great	Where were you at? 
Where were you at? 	India
India	What city are you from? 
What city are you from? 	Mumbai
Mumbai	I am in the united states.
I am in the united states.	City??
City??	No, it is the city.
No, it is the city.	Ok
Ok	Yes, it is. what do you do?
Yes, it is. what do you do?	What's your name
What's your name	My name is bill. What is yours?
My name is bill. What is yours?	KALPESH
KALPESH	R u male or female??
R u male or female??	Female. What is your favorite color?
Female. What is your favorite color?	Red n white
Red n white	What?
What?	You ask me my favorite color
You ask me my favorite color	What about you?
What about you?	M photographer
M photographer	What is a sock instrument?
What is a sock instrument?	Drum
Drum	Busy
Busy	I see. So what do you do for fun?
I see. So what do you do for fun?	Sex
Sex	Oh, I see.
Oh, I see.	Yo
Yo	What about you? 
What about you? 	Tell me your number
Tell me your number	I'll get you one. 
I'll get you one. 	Y
Y	Thanks. I'll call you later. 
Thanks. I'll call you later. 	Send mi your pic
Send mi your pic	OK. Bye.
Ok	How can I help you? 
How can I help you? 	Where I can get best french learning resources ??
Where I can get best french learning resources ??	Well, there are a lot of french stores around here.
Well, there are a lot of french stores around here.	Can you please suggest anyone of them ??
Can you please suggest anyone of them ??	Sure, there are several good ones. 
Sure, there are several good ones. 	Can you please let me know name of one ??
Can you please let me know name of one ??	Of course. It's on the second floor.
Of course. It's on the second floor.	I am taking about name ??
I am taking about name ??	No problem.
No problem.	You are Dum
You are Dum	Yes, it is. what about you?
Yes, it is. what about you?	I am not as like you 
I am not as like you 	I'm sorry, but I do n't like french food. What bout you? 
I'm sorry, but I do n't like french food. What bout you? 	I don't have time
I don't have time	OK, well, I hope you enjoy your shopping.
Why	hello, how are you doing today? I just got back from running, I love it
hello, how are you doing today? I just got back from running, I love it	Work of chemistry
Work of chemistry	I'm a woman, I work as a vegetarian. what do you do for work?
I'm a woman, I work as a vegetarian. what do you do for work?	I am purchase vegetable
I am purchase vegetable	That women
That women	oh, I am sorry. do you have any hobbies? I love running
oh, I am sorry. do you have any hobbies? I love running	do you like sports? I enjoy running
do you like sports? I enjoy running	Like to play cricket
Like to play cricket	oh, that sounds like a lot of fun. do you play any sports?
oh, that sounds like a lot of fun. do you play any sports?	Yes.. Play cricket
Yes.. Play cricket	that sounds fun. I like to watch sports. do you? I play cricket
that sounds fun. I like to watch sports. do you? I play cricket	Yes
Yes	do you like
do you like	Yes really
Yes really	what are you going to do for a living?
what are you going to do for a living?	Delhi
Delhi	Ya......... Indor
Ya......... Indor	that is a great job. I am going to be a vegetarian
that is a great job. I am going to be a vegetarian	Ok
Ok	yes, I do. what are your hobbies? do you enjoy it?
yes, I do. what are your hobbies? do you enjoy it?	Like play.. Game.. Watch tv.....
Like play.. Game.. Watch tv.....	I love to play sports. what about you? are you married?
I love to play sports. what about you? are you married?	Np
Np	Np
Np	No......... I am not married
No......... I am not married	what is your favorite game? mine is running
what is your favorite game? mine is running	Chesss
Hi	I love dogs
I love dogs	i love dogs . i love dogs .
i love dogs . i love dogs .	Wht the next
Wht the next	i love to go to the beach and go to the beach
i love to go to the beach and go to the beach	Me also
Me also	what do you do for a living ?
what do you do for a living ?	Kill human
Kill human	kill kill kill kill kill
kill kill kill kill kill	Ya kill kill
Ya kill kill	shoot kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill
shoot kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill	No shoot
No shoot	oh ok . do you like guns ?
oh ok . do you like guns ?	Kill
Kill	shoot kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill
shoot kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill	No.i like knife
No.i like knife	do you have any hobbies ?
do you have any hobbies ?	I love to play cricket
I love to play cricket	i like to play video games
i like to play video games	U r not good
U r not good	i do not know what to say .
i do not know what to say .	I know
I know	what do you do for a living ?
what do you do for a living ?	Job
Job	jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs
U r from	I am from the united states
I am from the united states	Watts u r name
Watts u r name	Hi! I also am from the united states
Hi! I also am from the united states	Watts u r name
Watts u r name	Nice to meet you too!
Nice to meet you too!	Nice to meet you
Nice to meet you	What do you do for work?
What do you do for work?	What is u r name
What is u r name	My name is Jane and I work as a team player for the Washington wizards. How are you today?
Ok	Hello, how are you today?
Okey	hi, how are you? what do you do for an living? I am a activist
hi, how are you? what do you do for an living? I am a activist	What is your name?
What is your name?	my name is rainbow. do you have any pets? I have a cats
my name is rainbow. do you have any pets? I have a cats	Im an engineer
Im an engineer	I dont have pets
I dont have pets	oh, I am sorry to hear that. do you like cats?
oh, I am sorry to hear that. do you like cats?	Are you single or in a relationship?
Are you single or in a relationship?	I do not have pets. do you? I like cats too
I do not have pets. do you? I like cats too	I am single. do you have
I am single. do you have	Iam in a relationship
Iam in a relationship	Are you virgin?
Are you virgin?	oh, that is too bad. I am not a single person
oh, that is too bad. I am not a single person	I am. I do have a lot of time to do that. what about you?
I am. I do have a lot of time to do that. what about you?	Iam not
Iam not	do you have
Hi	Hello
Hello	hello , how are you ?
hello , how are you ?	I am Sambhu
I am Sambhu	what do you do for a living ?
what do you do for a living ?	Officially job
Officially job	what do you do ?
what do you do ?	Learning
Learning	math taught math math literature literature literature literature literature literature .
math taught math math literature literature literature literature literature literature .	Yes I like thats
Yes I like thats	what do you do for a living ?
what do you do for a living ?	Sundegarh
Sundegarh	i love to read
i love to read	Same to you
Same to you	what do you do for a living ?
what do you do for a living ?	Reading
Reading	reading books read books books books books books books read books books read books books books books read books books books read books books books books read books books books read books books books books books read books books books read books books books books books read books books books books read books books books books read books books books books books books books books books books books books books books books books read books books read books books books read books books books read books books books read books books books read books books books read books books books
reading books read books books books books books books read books books read books books books books read books books books read books books books books read books books books read books books books books books read books books books read books books books books books read books books books books read books books books books read books books books books books books books books books books books books books books books books read books books read books books books read books books books read books books books read books books books read books books books read books books books	Wow
Wow	what do you do for a living ?
what do you do for a living ?	No idea
No idea	do you have any pets ?
do you have any pets ?	Cat
Cat	cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat
cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cats cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat	Wow
Wow	what do you do for a living ?
what do you do for a living ?	Work
Work	work jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs work jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs work jobs jobs jobs jobs jobs jobs work jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs
work jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs work jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs work jobs jobs jobs jobs jobs jobs work jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs	Wow
Wow	what do you do for a living ?
what do you do for a living ?	Sorry sir have a nice day
Sorry sir have a nice day	it is ok . i am a stay at home mom .
it is ok . i am a stay at home mom .	Oho
Oho	i love to read
i love to read	Same to you
Same to you	what do you do for a living ?
what do you do for a living ?	I am busy now
I am busy now	what do you do for a living ?
what do you do for a living ?	Bye
Bye	i hope you have a good day
i hope you have a good day	Thank you
Thank you	do you have any hobbies ?
do you have any hobbies ?	Sleeping
Sleeping	sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep
sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep sleep	
	i love to read
i love to read	OK bye
OK bye	i have a lot of friends
i have a lot of friends	OK
OK	what do you do for a living ?
Oky	hello, how are you? what do you do for a living? I work at a homeless shelter
hi	hi, how are you? I just got back from the moonlight. I love it
Who is your sex partner	I'm a chef. I love to read. what about you? do you have any hobbies?
I'm a chef. I love to read. what about you? do you have any hobbies?	My hobby is sex with GF
My hobby is sex with GF	that is cool. I love fishing. what do you do for a living?
that is cool. I love fishing. what do you do for a living?	Only have sex
Only have sex	oh. I do not have a living. do you? I am larry
Hi	Hiii
Hiii	i love to read
i love to read	Me too
Me too	what do you do for a living ?
what do you do for a living ?	Everything
Everything	what do you do for a living ?
what do you do for a living ?	Nothing
Nothing	what do you do for a living ?
what do you do for a living ?	Next question
Next question	what do you do for a living ?
what do you do for a living ?	Pta nhi
Pta nhi	what do you do for a living ?
Who am I to you?	hello, I am knitting. how are you? I just got back from the county sale
hello, I am knitting. how are you? I just got back from the county sale	Are you a bot
Are you a bot	no. I am a bake sale. I love knitting. you?
Hi	End
End	hello how are you doing today? i'm good. 
hello how are you doing today? i'm good. 	Eng
Eng	End
End	what do you do for work? i work as a workout instructor. 
what do you do for work? i work as a workout instructor. 	End
End	Stop
Stop	do you have a dog? i have a dog. 
do you have a dog? i have a dog. 	No
No	do you go to the gym often? i do. 
do you go to the gym often? i do. 	do you workout often? are you on a team? 
do you workout often? are you on a team? 	do you play any sports? i play the treadmill. 
do you play any sports? i play the treadmill. 	do you like to exercise? i love the workout. 
Ok	hello, how are you? I am a employed by us. what do you do?
hello, how are you? I am a employed by us. what do you do?	I'm fine .....i use to study
I'm fine .....i use to study	oh, I am sorry to hear that. do you study? I do
oh, I am sorry to hear that. do you study? I do	Yeah!!!
Yeah!!!	what is your favorite color? mine is grey. do you have any pets?
what is your favorite color? mine is grey. do you have any pets?	Mine is black.....and i don't have any pet
Mine is black.....and i don't have any pet	that is a lot of pets. I have a cat named barnaby
that is a lot of pets. I have a cat named barnaby	Oohh!!!  Really good.....do care ur pet??
Oohh!!!  Really good.....do care ur pet??	I do not have any. do you? what is ur favorite color. mine is barnaby
Ntg	hi, how are you? I am in third grade. what do you do?
hi, how are you? I am in third grade. what do you do?	Job
Job	that is cool. I sing songs on my playground. do you have any hobbies?
Yes	How are you doing today
How are you doing today	Good
Good	I'm doing well, how are you? 
I'm doing well, how are you? 	Is love good?
Is love good?	I like scary movies, especially the last of the Mahicans 
I like scary movies, especially the last of the Mahicans 	Okay
Okay	What do you do for work?
What do you do for work?	I am a web developer
I am a web developer	That sounds interesting. I teach elementary school.
That sounds interesting. I teach elementary school.	Nice
Nice	What are your hobbies?
What are your hobbies?	Playing cricket, table tennis
Ha i not get	Your answer
Your answer	hello, how is your night going? i work nights at a bar. 
hello, how is your night going? i work nights at a bar. 	it is going well, thank you. what about yours? 
Your country ?	Hello, how are you?
I like to ride horses	i love horses. do you like music? 
i love horses. do you like music? 	Yeah
Yeah	what is your favorite color? mine is red. 
what is your favorite color? mine is red. 	Mine is green
Mine is green	cool, what do you do for work? i drive a tractor. 
cool, what do you do for work? i drive a tractor. 	I am an engineer
I am an engineer	Means Civil engineer
